a,b,c,d,e,f,tag
-4.99768555e-01,-5.38845062e-02,-8.90920937e-01,-2.14486599e-01, 1.29998326e-01,-1.81195319e-01,1
-3.67904305e-01, 2.89345622e-01,-7.65260875e-01,-2.46168375e-01,-1.86877608e-01,-9.28933620e-02,1
-2.78327823e-01, 2.06844091e-01,-9.65830088e-01,-1.77279413e-01, 1.49079561e-01,-1.81830645e-01,1
-3.60080659e-01, 7.52241611e-02,-6.78195834e-01,-3.29577744e-01,-1.22407556e-01,-1.41199529e-01,1
-7.99236059e-01, 2.51335740e-01,-6.25008106e-01,-7.38326907e-01,-6.89554930e-01, 1.98131084e-01,1
-1.27719462e-01,-1.04488969e-01,-8.59418392e-01,-1.87892199e-01, 1.14623785e-01,-1.32667303e-01,1
 1.90143943e-01,-6.74336553e-02,-8.02837968e-01,-1.95834100e-01, 7.21812248e-03,-1.89195573e-01,1
-4.55287695e-01, 2.35291123e-01,-9.42517161e-01,-2.14329481e-01, 2.44455218e-01,-8.04206729e-02,1
-6.80586696e-01,-1.17575467e-01,-8.94275784e-01,-1.98965371e-01, 6.69173002e-02,-2.85545528e-01,1
 6.02988124e-01, 5.24709105e-01,-7.86232829e-01,-3.67854118e-01,-9.23452377e-02,-2.38684833e-01,1
-3.26865315e-02, 5.32021523e-01,-6.63659692e-01,-2.95971274e-01,-1.66000962e-01, 8.01404715e-02,1
 5.45570731e-01, 7.07767487e-01,-7.20202506e-01,-1.71576619e-01,-1.96084976e-02, 7.27995515e-01,1
 5.45570731e-01, 7.07767487e-01,-7.20202506e-01,-1.71576619e-01,-1.96084976e-02, 7.27995515e-01,1
-3.96071970e-01, 2.23898888e-02,-8.86078179e-01,-1.77987337e-01,-6.37317896e-02, 6.86777830e-02,1
 7.18806863e-01,-7.43461967e-01,-5.96829772e-01,-2.83353925e-01,-1.25243425e-01,-3.28587830e-01,1
-4.04717863e-01,-8.60844254e-02,-9.11765993e-01,-3.08277845e-01,-5.14874458e-02, 8.39679241e-02,1
-5.72592914e-01, 2.26457834e-01,-8.83785367e-01,-3.57641697e-01,-3.83977711e-01,-1.20726347e-01,1
-8.03200006e-02, 3.80442142e-01,-8.76064956e-01,-1.35391772e-01, 1.09591484e-02,-5.11385798e-02,1
-1.30794227e-01, 5.48297524e-01,-6.36275768e-01,-5.37989736e-02, 7.00900555e-02, 3.44915628e-01,1
 2.19309449e-01, 2.97371268e-01,-6.86165810e-01,-2.63916731e-01,-4.96068597e-02,-4.08879757e-01,1
-3.67677212e-02, 9.16136503e-02,-9.27546382e-01,-4.79044378e-01,-8.00918043e-01,-1.70643508e-01,1
-4.44843829e-01, 1.97352171e-01,-9.71187055e-01,-2.32942343e-01, 8.09346437e-02,-7.96875358e-02,1
-4.49340403e-01, 4.37549829e-01,-7.88902819e-01,-3.86206567e-01,-5.18137217e-02,-3.64476442e-02,1
-4.21484888e-01, 1.36239052e-01,-6.93121850e-01,-2.52285898e-01,-1.50414348e-01, 1.85035706e-01,1
 1.51381493e-02, 3.66305470e-01,-7.61991739e-03,-6.86721623e-01,-2.54678249e-01, 3.60681415e-01,1
-3.65950465e-01, 3.50063205e-01,-4.71193850e-01,-4.01970863e-01,-3.20142984e-01, 5.98158836e-02,1
-1.16948485e-02, 6.71132207e-01,-8.44564915e-01,-2.28423297e-01,-4.44393754e-02,-2.20247746e-01,1
-3.10884953e-01, 5.64055443e-01,-8.22860718e-01,-2.78900743e-01,-1.83566272e-01,-1.92925513e-01,1
-6.07196093e-01, 3.97851706e-01,-9.77869868e-01,-2.72560596e-01, 3.16315651e-01,-4.08240557e-02,1
 4.76418734e-02, 5.73649526e-01,-6.14316583e-01,-3.81098509e-01,-3.91098857e-02,-2.76558399e-01,1
-5.83719015e-01,-1.08425260e-01,-7.92687416e-01,-2.38242984e-01,-5.96558809e-01,-1.31013930e-01,1
-4.27462459e-02, 4.42557216e-01,-6.19973421e-01,-2.74516106e-01, 6.95693493e-03,-5.12151361e-01,1
 2.43227720e-01, 2.91001558e-01,-8.91813695e-01,-3.97394478e-01,-3.19872200e-01, 5.20457029e-02,1
 3.25404048e-01, 5.95195055e-01,-7.83119559e-01,-2.77439952e-01,-3.15362215e-02, 6.56012297e-02,1
 1.75227880e-01, 2.25572109e-01,-9.37408864e-01,-2.95140803e-01,-1.97037697e-01,-5.39995432e-02,1
-3.02052140e-01, 2.28113890e-01,-5.98075688e-01,-2.84652054e-01, 1.69123411e-02,-1.38161719e-01,1
 5.08161902e-01,-9.27697420e-02,-7.65812516e-01,-2.95176864e-01,-3.69836748e-01, 1.94285274e-01,1
-7.45494723e-01, 1.74039006e-01, 3.66956592e-01,-1.00000000e+00,-5.05951285e-01, 3.01445365e-01,1
 5.33114910e-01,-3.10798466e-01,-5.82268476e-01,-2.06415355e-01, 4.36991334e-01,-9.12719965e-03,1
-0.84095055,-0.19306499,-0.8460631 ,-0.2695225 ,-0.03895956, 0.23789048,-1
-0.20144296, 0.11231339,-0.85916275,-0.04062814, 0.02393806,-0.05144334,-1
-0.80130374, 0.35346925,-0.99432456, 0.09420002,-0.38653314,-0.29268575,-1
 0.3801483 ,-0.6275993 ,-0.92145026, 0.6735029 , 0.49755836,-0.31609112,-1
-0.46266663,-0.02586758,-0.43313128,-0.31160372,-0.27563804, 0.937497  ,-1
-0.08619261, 0.5999454 ,-0.95673984,-0.62236226, 0.5841001 , 0.30274415,-1
-0.86686933, 0.08872342,-0.88614136,-0.3552397 , 0.07503259, 0.11226869,-1
-0.3704058 , 0.5515733 ,-0.45070016,-0.04088318,-0.42442286, 0.1546768 ,-1
-0.9376753 , 0.00559938,-0.4293604 , 0.08732235,-0.54819185, 0.5143925 ,-1
 0.28640926,-0.06783372,-0.8586552 ,-0.19157642, 0.15319157,-0.1476202 ,-1
-0.0020538 ,-0.2833163 ,-0.9179967 ,-0.06278503,-0.16202009,-0.19083911,-1
 0.21091199, 0.5609454 ,-0.92182285,-0.8926257 , 0.36927807, 0.36902833,-1
-0.67519164, 0.5819695 ,-0.7696196 , 0.15129006,-0.27820313,-0.48513967,-1
-0.857818  , 0.11396527,-0.8606289 ,-0.02240103,-0.5257038 ,-0.11395103,-1
-0.8710383 , 0.22399211,-0.98135346,-0.68097234, 0.31822717, 0.32360125,-1
-1.        , 0.03980732,-0.9689814 , 0.11032498,-0.17321217,-0.33282697,-1
-0.34960133, 0.49871516,-0.8964083 ,-0.7462355 , 0.5642524 , 0.4018638 ,-1
-0.710454  , 0.24300098,-0.80867517,-0.1645028 ,-0.7753249 ,-0.20550579,-1
-0.3086688 , 0.30854297,-0.94158655,-0.37805623, 0.26950467, 0.10067976,-1
-0.43528688,-0.09245026,-0.9049477 ,-0.1233384 , 0.1000042 , 0.01724935,-1
 0.7906375 ,-0.5610336 ,-0.95410323,-0.3520702 , 0.57070553, 0.28877246,-1
 0.22139299, 0.42252362,-0.6372337 ,-0.00932509,-0.47288948, 0.0788393 ,-1
 0.27013183,-0.09727281,-0.69343936,-0.14603913,-0.17602348, 0.2287457 ,-1
-0.22083259, 0.30549228,-0.9078024 ,-0.5938479 , 0.07976615, 0.25289083,-1
-0.3075866 , 0.708339  ,-0.97392976,-0.4577834 ,-0.10435504, 0.22744381,-1
 0.01331627,-0.21317732,-0.9815174 ,-0.44538498, 0.14664245, 0.20157444,-1
 0.08957386,-0.3220908 ,-0.9685141 ,-0.6346568 , 0.5793624 , 0.37498355,-1
-0.0785104 , 0.00302804,-0.88584524,-0.36499327, 0.1553142 , 0.04136932,-1
-0.08535933, 0.65931714,-0.79525524,-0.1594339 ,-0.5971089 ,-0.25762784,-1
 0.9076623 ,-0.9800565 ,-0.7097579 ,-0.03105098,-0.07812649, 0.19887197,-1
-0.19021016,-0.12577605,-0.9396595 , 0.22947335,-0.38303095,-0.5361482 ,-1
 0.6170616 ,-0.3605612 ,-0.9784065 ,-0.17428088,-0.07260078, 0.00589943,-1
 0.23525023,-0.02466166,-0.95936936,-0.28639674, 0.27893448, 0.09493566,-1
-0.72813547,-0.00494635,-0.99655104,-0.15671444,-0.5680072 ,-0.38224322,-1
 0.2831123 ,-0.06306612,-0.7675853 ,-0.04983014,-0.06480753,-0.24621487,-1
-0.92370075, 0.29470515,-0.9381695 , 0.06079006,-0.3677461 ,-0.25958842,-1
-0.23113889, 0.10049641,-0.7418411 ,-0.28746742,-0.43678766, 0.08852124,-1
 0.63475466, 0.3914044 ,-0.9721385 , 1.        , 0.6246562 ,-0.12845397,-1
-0.5769987 , 0.43028355,-0.8162715 ,-0.50330573, 0.36726105, 0.60823905,-1
 0.06192052, 0.56055415,-0.8243729 ,-0.8585782 , 0.5393425 , 0.35987592,-1
 1.        ,-0.46573532,-0.9610757 , 0.78180337, 0.69514453,-0.02702725,-1
-0.14355999, 0.12789083,-0.9107386 ,-0.27403778, 0.18198419, 0.11431277,-1
-0.04894161, 0.10847175,-0.9521538 ,-0.49462265, 0.08235896, 0.17753887,-1
 0.8774389 ,-1.        ,-0.90412784, 0.44538176, 0.80024004, 0.21575463,-1
 0.17287242, 0.6486279 ,-0.8581581 , 0.18913317,-0.31332093,-0.27066058,-1
-0.85315096,-0.43886954,-0.8311702 ,-0.00354052,-0.5066587 ,-0.10718799,-1
-0.5593546 , 0.5441216 ,-0.9775929 ,-0.52210546,-0.06789923, 0.2336005 ,-1
-0.35259086, 0.56363976,-0.95145845,-0.89638114, 0.24973142, 0.27742004,-1
-0.376458  , 0.09244251,-0.81912255, 0.1203593 ,-0.43857127,-0.28745484,-1
 0.327312  , 0.31869268,-0.81845677,-0.7570148 , 0.2239486 , 0.20401466,-1

